,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,201587.0,00,0.0,628.0,575.0,31.7,4.3,9.8,0.436,1.6,4.6,0.357,1.9,2.3,0.84,1.1,4.2,5.3,3.7,0.9,0.7,1.9,1.8,12.1
0,201573.0,00,0.0,522.0,89.0,21.4,3.0,7.2,0.415,0.8,2.3,0.368,1.8,2.2,0.825,0.3,1.9,2.1,2.9,0.6,0.1,1.5,2.1,8.6
0,203382.0,00,0.0,308.0,33.0,14.3,2.1,4.1,0.513,0.0,0.0,0.125,1.1,1.4,0.803,1.5,2.7,4.2,0.6,0.2,0.4,0.8,2.0,5.3
0,203145.0,00,0.0,364.0,170.0,19.0,2.8,6.5,0.421,0.9,2.5,0.347,1.2,1.7,0.697,0.3,2.5,2.8,1.6,0.9,0.4,1.3,1.7,7.6
0,203078.0,00,0.0,336.0,302.0,33.3,6.6,14.9,0.444,2.0,5.1,0.398,2.6,3.3,0.797,0.8,2.8,3.6,3.1,1.0,0.3,1.9,2.1,17.9
0,1627736.0,00,0.0,36.0,1.0,7.8,1.3,3.0,0.435,0.4,1.3,0.289,0.2,0.4,0.615,0.3,0.8,1.1,0.5,0.2,0.0,0.4,0.6,3.2
0,201563.0,00,0.0,519.0,207.0,23.3,5.1,11.0,0.458,0.5,1.4,0.344,1.8,2.4,0.757,1.1,3.6,4.6,1.3,0.6,0.5,1.7,2.2,12.4
0,201158.0,00,0.0,657.0,216.0,23.2,3.4,8.1,0.424,1.3,3.5,0.379,1.5,1.8,0.833,0.2,1.8,2.1,1.7,0.6,0.1,1.0,1.5,9.7
0,1628395.0,00,0.0,11.0,0.0,8.9,1.7,2.5,0.704,0.0,0.0,0.0,0.0,0.1,0.0,0.8,1.5,2.3,1.0,0.5,0.5,0.6,1.6,3.5
0,1627761.0,00,0.0,39.0,1.0,10.0,1.3,2.7,0.481,0.0,0.5,0.053,0.2,0.4,0.375,0.4,1.3,1.7,0.7,0.3,0.2,0.5,0.5,2.7
0,1627733.0,00,0.0,57.0,0.0,15.2,1.4,4.0,0.358,0.8,2.6,0.293,0.2,0.4,0.6,0.5,2.3,2.8,0.6,0.2,0.6,0.8,1.7,3.8
0,202722.0,00,0.0,76.0,6.0,11.4,1.5,3.4,0.441,1.0,2.5,0.403,0.4,0.5,0.795,0.3,1.1,1.4,0.7,0.3,0.4,0.4,1.1,4.4
0,201976.0,00,0.0,301.0,250.0,28.6,3.4,8.1,0.413,1.7,4.4,0.376,1.0,1.3,0.767,1.2,2.8,4.1,3.4,1.3,0.4,1.4,3.1,9.4
0,203920.0,00,0.0,2.0,0.0,3.1,0.5,1.5,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.5,1.0
0,1628444.0,00,0.0,2.0,0.0,8.2,0.0,0.5,0.0,0.0,0.5,0.0,1.5,2.5,0.6,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.5
0,202687.0,00,0.0,460.0,185.0,21.2,1.8,3.5,0.51,0.0,0.0,0.0,1.3,2.3,0.554,2.0,4.5,6.5,0.4,0.3,1.5,0.9,2.3,4.8
0,202357.0,00,0.0,137.0,1.0,17.9,2.1,4.7,0.454,0.9,2.4,0.361,0.7,0.9,0.75,0.8,2.8,3.6,1.2,0.5,0.3,0.9,2.4,5.9
0,204028.0,00,0.0,177.0,55.0,16.1,2.1,3.8,0.544,0.0,0.0,0.25,1.0,1.6,0.618,1.9,3.1,5.0,0.6,0.4,0.5,0.7,2.4,5.2
0,1628469.0,00,0.0,1.0,0.0,1.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
0,202339.0,00,0.0,423.0,261.0,27.1,4.6,10.3,0.443,0.9,2.6,0.331,3.1,3.9,0.799,0.8,3.0,3.8,4.6,1.4,0.5,2.7,2.0,13.1
0,203505.0,00,0.0,7.0,1.0,15.1,1.7,5.1,0.333,0.3,1.6,0.182,0.4,1.4,0.3,0.3,1.6,1.9,1.3,0.4,0.0,1.3,0.9,4.1
0,203992.0,00,0.0,9.0,7.0,23.7,3.9,8.6,0.455,0.9,2.8,0.32,1.2,1.2,1.0,0.4,2.0,2.4,1.6,1.1,0.7,1.2,1.7,9.9
0,202711.0,00,0.0,251.0,134.0,25.6,4.1,9.2,0.447,1.5,4.2,0.373,1.7,2.0,0.859,0.5,2.6,3.2,1.2,0.4,0.1,1.4,1.6,11.5
0,101106.0,00,0.0,678.0,651.0,28.9,4.4,8.2,0.534,0.0,0.0,0.12,1.2,2.2,0.556,2.5,6.3,8.8,2.2,0.6,1.6,1.7,3.1,9.9
0,1627762.0,00,0.0,12.0,0.0,4.4,0.8,1.3,0.563,0.1,0.3,0.25,0.3,0.5,0.5,0.3,1.1,1.4,0.2,0.1,0.2,0.2,0.1,1.8
0,1626164.0,00,0.0,168.0,143.0,31.6,6.4,15.1,0.426,1.6,4.6,0.356,3.9,4.6,0.842,0.5,2.5,3.0,3.1,0.8,0.3,2.6,3.0,18.4
0,202344.0,00,0.0,473.0,155.0,21.0,3.0,5.8,0.515,0.1,0.5,0.313,1.0,1.6,0.623,2.0,3.7,5.7,1.1,0.7,0.5,1.1,2.0,7.1
0,202340.0,00,0.0,425.0,352.0,28.2,4.9,11.2,0.442,1.3,3.5,0.368,1.1,1.4,0.772,0.7,2.4,3.1,1.7,1.1,0.2,1.4,2.1,12.2
0,1628396.0,00,0.0,1.0,0.0,5.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,201147.0,00,0.0,724.0,290.0,23.8,3.4,8.1,0.423,0.6,2.2,0.282,1.6,2.2,0.712,0.8,2.1,2.9,1.6,1.3,0.3,1.2,2.2,9.1
